URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://tecnomod-um.org/ValueSet/adherence-codes-vs,1.0.0,active,,AdherenceCodesVS,AdherenceCodes ValueSet,"Allowed coded values for AdherenceCodes",,"hl7.fhir.r5.core"
http://tecnomod-um.org/ValueSet/admission-department-vs,1.0.0,active,,AdmissionDepartmentVS,AdmissionDepartment ValueSet,"Allowed coded values for AdmissionDepartment",,"THO (V3)"
http://tecnomod-um.org/ValueSet/admission-pathway-vs,1.0.0,active,,AdmissionPathwayVS,AdmissionPathway ValueSet,"Allowed coded values for AdmissionPathway",,"Internal"
http://tecnomod-um.org/ValueSet/analitics-codes-vs,1.0.0,active,,AnaliticsCodesVS,AnaliticsCodes ValueSet,"Allowed coded values for AnaliticsCodes",,"SCT,Internal"
http://tecnomod-um.org/ValueSet/anticoagulant-reversal-vs,1.0.0,active,,AnticoagulantReversalVS,AnticoagulantReversal ValueSet,"Allowed coded values for AnticoagulantReversal",,"SCT,Internal"
http://tecnomod-um.org/ValueSet/assessment-context-vs,1.0.0,active,,AssessmentContextVS,AssessmentContext ValueSet,"Allowed coded values for AssessmentContext",,"Internal"
http://tecnomod-um.org/ValueSet/atrial-fibrillation-or-flutter-vs,1.0.0,active,,AtrialFibrillationOrFlutterVS,AtrialFibrillationOrFlutter ValueSet,"Allowed coded values for AtrialFibrillationOrFlutter",,"SCT"
http://tecnomod-um.org/ValueSet/bleeding-reason-vs,1.0.0,active,,BleedingReasonVS,BleedingReason ValueSet,"Allowed coded values for BleedingReason",,"SCT,Internal"
http://tecnomod-um.org/ValueSet/body-sites-vs,1.0.0,active,,BodySitesVS,BodySites ValueSet,"Allowed coded values for BodySites",,"SCT"
http://tecnomod-um.org/ValueSet/bool-vs,1.0.0,active,,BoolVS,Bool ValueSet,"Allowed coded values for Bool",,"FHIR"
http://tecnomod-um.org/ValueSet/carotid-endarterectomy-timing-vs,1.0.0,active,,CarotidEndarterectomyTimingVS,CarotidEndarterectomyTiming ValueSet,"Allowed coded values for CarotidEndarterectomyTiming",,"Internal"
http://tecnomod-um.org/ValueSet/carotid-stenosis-level-vs,1.0.0,active,,CarotidStenosisLevelVS,CarotidStenosisLevel ValueSet,"Allowed coded values for CarotidStenosisLevel",,"SCT"
http://tecnomod-um.org/ValueSet/clinical-status-codes-vs,1.0.0,active,,ClinicalStatusCodesVS,ClinicalStatusCodes ValueSet,"Allowed coded values for ClinicalStatusCodes",,"THO"
http://tecnomod-um.org/ValueSet/discharge-destination-vs,1.0.0,active,,DischargeDestinationVS,DischargeDestination ValueSet,"Allowed coded values for DischargeDestination",,"SCT,Internal"
http://tecnomod-um.org/ValueSet/discharge-facility-department-vs,1.0.0,active,,DischargeFacilityDepartmentVS,DischargeFacilityDepartment ValueSet,"Allowed coded values for DischargeFacilityDepartment",,"Internal"
http://tecnomod-um.org/ValueSet/discharge-facility-type-vs,1.0.0,active,,DischargeFacilityTypeVS,DischargeFacilityType ValueSet,"Allowed coded values for DischargeFacilityType",,"SCT,Internal"
http://tecnomod-um.org/ValueSet/discharge-medication-vs,1.0.0,active,,DischargeMedicationVS,DischargeMedication ValueSet,"Allowed coded values for DischargeMedication",,"Internal"
http://tecnomod-um.org/ValueSet/first-contact-place-vs,1.0.0,active,,FirstContactPlaceVS,FirstContactPlace ValueSet,"Allowed coded values for FirstContactPlace",,"THO (V3),Internal"
