URL,Version,Status,OIDs,Name,Title,Description,Used
http://tecnomod-um.org/CodeSystem/procedure-timing-context-cs,1.0.0,active,,ProcedureTimingContextCS,ProcedureTimingContextCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/procedure-timing-context-cs.",
http://tecnomod-um.org/CodeSystem/risk-factor-cs,1.0.0,active,,RiskFactorCS,RiskFactorCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/risk-factor-cs.",
http://tecnomod-um.org/CodeSystem/specific-finding-cs,1.0.0,active,,SpecificFindingCS,SpecificFindingCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/specific-finding-cs.",
http://tecnomod-um.org/CodeSystem/stroke-arrival-mode-cs,1.0.0,active,,StrokeArrivalModeCS,StrokeArrivalModeCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-arrival-mode-cs.",
http://tecnomod-um.org/CodeSystem/stroke-circumstance-codes-cs,1.0.0,active,,StrokeCircumstanceCodesCS,StrokeCircumstanceCodesCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-circumstance-codes-cs.",
http://tecnomod-um.org/CodeSystem/stroke-discharge-destination-cs,1.0.0,active,,StrokeDischargeDestinationCS,StrokeDischargeDestinationCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-discharge-destination-cs.",
http://tecnomod-um.org/CodeSystem/stroke-discharge-summary-section-cs,1.0.0,active,,StrokeDischargeSummarySectionCS,StrokeDischargeSummarySectionCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-discharge-summary-section-cs.",
http://tecnomod-um.org/CodeSystem/stroke-etiology-cs,1.0.0,active,,StrokeEtiologyCS,StrokeEtiologyCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-etiology-cs.",
http://tecnomod-um.org/CodeSystem/stroke-etiology-other-cs,1.0.0,active,,StrokeEtiologyOtherCS,StrokeEtiologyOtherCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-etiology-other-cs.",
http://tecnomod-um.org/CodeSystem/stroke-mimics-diagnosis-cs,1.0.0,active,,StrokeMimicsDiagnosisCS,StrokeMimicsDiagnosisCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-mimics-diagnosis-cs.",
http://tecnomod-um.org/CodeSystem/stroke-post-stroke-complication-cs,1.0.0,active,,StrokePostStrokeComplicationCS,StrokePostStrokeComplicationCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-post-stroke-complication-cs.",
http://tecnomod-um.org/CodeSystem/stroke-proc-not-done-reason-cs,1.0.0,active,,StrokeProcNotDoneReasonCS,StrokeProcNotDoneReasonCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-proc-not-done-reason-cs.",
http://tecnomod-um.org/CodeSystem/stroke-treatment-cs,1.0.0,active,,StrokeTreatmentCS,StrokeTreatmentCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/stroke-treatment-cs.",
http://tecnomod-um.org/CodeSystem/swallow-procedures-cs,1.0.0,active,,SwallowProceduresCS,SwallowProceduresCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/swallow-procedures-cs.",
http://tecnomod-um.org/CodeSystem/swallow-screen-time-cs,1.0.0,active,,SwallowScreenTimeCS,SwallowScreenTimeCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/swallow-screen-time-cs.",
http://tecnomod-um.org/CodeSystem/symptoms-cs,1.0.0,active,,SymptomsCS,SymptomsCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/symptoms-cs.",
http://tecnomod-um.org/CodeSystem/tenecteplase-brand-cs,1.0.0,active,,TenecteplaseBrandCS,TenecteplaseBrandCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/tenecteplase-brand-cs.",
http://tecnomod-um.org/CodeSystem/three-month-contact-mode-cs,1.0.0,active,,ThreeMonthContactModeCS,ThreeMonthContactModeCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/three-month-contact-mode-cs.",
http://tecnomod-um.org/CodeSystem/thrombectomy-complications-cs,1.0.0,active,,ThrombectomyComplicationsCS,ThrombectomyComplicationsCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/thrombectomy-complications-cs.",
http://tecnomod-um.org/CodeSystem/tia-symptom-duration-cs,1.0.0,active,,TiaSymptomDurationCS,TiaSymptomDurationCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/tia-symptom-duration-cs.",
http://tecnomod-um.org/CodeSystem/timing-cs,1.0.0,active,,TimingCS,TimingCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/timing-cs.",
http://tecnomod-um.org/CodeSystem/timing-metric-codes-cs,1.0.0,active,,TimingMetricCodesCS,TimingMetricCodesCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/timing-metric-codes-cs.",
http://tecnomod-um.org/CodeSystem/vital-signs-cs,1.0.0,active,,VitalSignsCS,VitalSignsCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/vital-signs-cs.",
http://tecnomod-um.org/CodeSystem/vte-procedures-cs,1.0.0,active,,VteProceduresCS,VteProceduresCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/vte-procedures-cs.",
http://tecnomod-um.org/CodeSystem/yes-no-not-required-cs,1.0.0,active,,YesNoNotRequiredCS,YesNoNotRequiredCs CodeSystem,"Local RESQ stroke registry CodeSystem generated from enum_models.py for system http://tecnomod-um.org/CodeSystem/yes-no-not-required-cs.",
